Committee,Reporting Period,Report Type,Date Paid,Entity Name,First Name,Middle Initial,Last Name,Addr Line1,City,State,Zip,Zip4,Amount,Expenditure Type,Purpose,Candidate Issue,Election Type,Expenditure Platform,Expenditure Quantity,Expenditure Specific Services,Attachment,# of Donors - Individuals,Total $ - Individual,# of Donors - Committees,Total $ - Committee,Expenditure Paid Communications Platform,Expenditure Paid Communications Quantity,Expenditure Paid Communications Subject Matter,Matched Candidate,Matched District,Matched Party,Matched Race
Forward Montana Voter Fund,10/25/2025 to 11/25/2025,C6,2025-11-14 00:00:00,Forward Montana Voter Fund,,,,"500 Higgins Ave, Suite 103",Missoula,MT,59802,,1707.93,3.0,See Addendum,"Emma Bode, Amy Aguirre, Andrew Lindley, Kyle Waterman, Marijke Stob",GN,,,,N,,,,,,,,MICHELE BINKLEY | JADE-HEATHER M ACKERMAN,HOUSE DISTRICT 85 | SENATE DISTRICT 8,REP | DEM,STATE REPRESENTATIVE DISTRICT 85 | STATE SENATOR DISTRICT 8
Forward Montana Voter Fund,10/25/2025 to 11/25/2025,C6,2025-10-31 00:00:00,Forward Montana Voter Fund,,,,"500 Higgins Ave, Suite 103",Missoula,MT,59802,,2346.05,3.0,See Addendum,"Emma Bode, Amy Aguirre, Andrew Lindley, Kyle Waterman, Marijke Stob",GN,,,,Y,,,,,,,,MICHELE BINKLEY | JADE-HEATHER M ACKERMAN,HOUSE DISTRICT 85 | SENATE DISTRICT 8,REP | DEM,STATE REPRESENTATIVE DISTRICT 85 | STATE SENATOR DISTRICT 8
Forward Montana Voter Fund,10/25/2025 to 11/25/2025,C6,2025-11-02 00:00:00,Door Dash,,,,"303 2nd Street, San Francisco, CA 94105",San Francisco,CA,94105,,103.41,3.0,Lunch for canvassers,"Amy Aguirre (Billings City Council Ward 3), Andrew Lindley (Billings City Council Ward 4)",GN,,,,N,,,,,,,,FINLEY WARDEN,HOUSE DISTRICT 13,REP,STATE REPRESENTATIVE DISTRICT 13
Forward Montana Voter Fund,10/25/2025 to 11/25/2025,C6,2025-11-03 00:00:00,Jimmy John's,,,,122 N. Broadway,Billings,MT,59101,,50.34,3.0,Lunch for canvassers,"Amy Aguirre (Billings City Council Ward 3), Andrew Lindley (Billings City Council Ward 4)",GN,,,,N,,,,,,,,FINLEY WARDEN,HOUSE DISTRICT 13,REP,STATE REPRESENTATIVE DISTRICT 13
Forward Montana Voter Fund,10/25/2025 to 11/25/2025,C6,2025-10-26 00:00:00,Meta,,,,1 Hacker Way,Menlo Park,CA,94025,,225.6,3.0,ads for endorsed candidates,"Emma Bode, Amy Aguirre, Andrew Lindley, Kyle Waterman, Marijke Stob",GN,,,,N,,,,,,,,MICHELE BINKLEY | JADE-HEATHER M ACKERMAN,HOUSE DISTRICT 85 | SENATE DISTRICT 8,REP | DEM,STATE REPRESENTATIVE DISTRICT 85 | STATE SENATOR DISTRICT 8
Forward Montana Voter Fund,10/25/2025 to 11/25/2025,C6,2025-10-25 00:00:00,black dog coffee,,,Black Dog Coffee,1528 24th St W,Billings,MT,59102,,28.46,3.0,Drinks for volunteers,"Amy Aguirre (Billings City Council Ward 3), Andrew Lindley (Billings City Council Ward 4)",GN,,,,N,,,,,,,,FINLEY WARDEN,HOUSE DISTRICT 13,REP,STATE REPRESENTATIVE DISTRICT 13
Forward Montana Voter Fund,10/25/2025 to 11/25/2025,C6,2025-11-08 00:00:00,Meta,,,,1 Hacker Way,Menlo Park,CA,94025,,48.8,3.0,Endorsement ads,"Emma Bode, Amy Aguirre, Andrew Lindley, Kyle Waterman, Marijke Stob",GN,,,,N,,,,,,,,MICHELE BINKLEY | JADE-HEATHER M ACKERMAN,HOUSE DISTRICT 85 | SENATE DISTRICT 8,REP | DEM,STATE REPRESENTATIVE DISTRICT 85 | STATE SENATOR DISTRICT 8
Forward Montana Voter Fund,10/25/2025 to 11/25/2025,C6,2025-11-02 00:00:00,Meta,,,,1 Hacker Way,Menlo Park,CA,94025,,317.89,3.0,Endorsement ads,"Emma Bode, Amy Aguirre, Andrew Lindley, Kylae Waterman, Marijke Stob",GN,,,,N,,,,,,,,MICHELE BINKLEY | JADE-HEATHER M ACKERMAN,HOUSE DISTRICT 85 | SENATE DISTRICT 8,REP | DEM,STATE REPRESENTATIVE DISTRICT 85 | STATE SENATOR DISTRICT 8
Forward Montana Voter Fund,10/25/2025 to 11/25/2025,C6,2025-11-04 00:00:00,Door Dash,,,,"303 2nd Street, San Francisco, CA 94105",San Francisco,CA,94105,,2.0,3.0,tip for door dash order on 11/2," Amy Aguirre (Billings City Council Ward 3), Andrew Lindley (Billings City Council Ward 4)",GN,,,,N,,,,,,,,FINLEY WARDEN,HOUSE DISTRICT 13,REP,STATE REPRESENTATIVE DISTRICT 13
Forward Montana Voter Fund,10/25/2025 to 11/25/2025,C6,2025-11-03 00:00:00,City Brew,,,,1640 Grand Ave,Billings,MT,59102,,5.4,3.0,coffee for canvassers,"Amy Aguirre (Billings City Council Ward 3), Andrew Lindley (Billings City Council Ward 4)",GN,,,,N,,,,,,,,FINLEY WARDEN,HOUSE DISTRICT 13,REP,STATE REPRESENTATIVE DISTRICT 13
