Committee,Reporting Period,Report Type,Date Paid,Entity Name,First Name,Middle Initial,Last Name,Addr Line1,City,State,Zip,Zip4,Amount,Expenditure Type,Purpose,Candidate Issue,Election Type,Expenditure Platform,Expenditure Quantity,Expenditure Specific Services,Attachment,# of Donors - Individuals,Total $ - Individual,# of Donors - Committees,Total $ - Committee,Expenditure Paid Communications Platform,Expenditure Paid Communications Quantity,Expenditure Paid Communications Subject Matter,Matched Candidate,Matched District,Matched Party,Matched Race
Forward Montana Voter Fund,09/26/2025 to 10/24/2025,C6,2025-10-18 00:00:00,Billings Times,,,,2919 Montana Ave,Billings,MT,59101,,580.0,3.0,Walk cards for endorsed candidates in Billings,"Mark Nicholson, Kassi Strong, Amy Aguirre, Andrew Lindley, Patrick Olp",GN,,,,N,,,,,,,,NELLY NICOL | MICHELE BINKLEY,HOUSE DISTRICT 53 | HOUSE DISTRICT 85,REP | REP,STATE REPRESENTATIVE DISTRICT 53 | STATE REPRESENTATIVE DISTRICT 85
Montana Conservation Voters Action Fund,10/01/2025 to 12/31/2025,C6,2025-10-23 00:00:00,Navigate Campaigns,,,,1328 Florida Ave NW,Washington,DC,20009,,43662.75,3.0,Mail pieces,"Nicholson, Aguirre, Lindley - Billings City Council; Nelson - Billings Mayor; Bode - Bozeman City Co",GN,printed mail,"41,187 mail pieces","mail pieces for Wards 1, 3, 4, Billings Mayor, and Bozeman City Commission",N,,,,,,,,NELLY NICOL,HOUSE DISTRICT 53,REP,STATE REPRESENTATIVE DISTRICT 53
Montana Patriots,03/26/2026 to 04/25/2026,C6,2026-04-25 00:00:00,Meta,,,,1 Hacker Wy,Menlo Park,CA,94025,,249.99,3,Meta Image ads,Support Nelly Nicol,PM,,50596 impressions,,N,,,,,,,,NELLY NICOL,HOUSE DISTRICT 53,REP,STATE REPRESENTATIVE DISTRICT 53
Montana Rural Voters Action Fund,11/26/2025 to 12/31/2025,C6,2025-12-23 00:00:00,WORC,,,,220 S 27th St STE B,Billings,MT,59101.0,,115.51,3,Facebook ads in support of municipal candidates,"Aguirre, Lindley, Nicholson, Strong, Nelson, Schreiner, Olp",GN,Facebook,"6,600 Impressions",Facebook ads in support of municipal candidates,N,,,,,,,,MICHELE BINKLEY | NELLY NICOL | TRISH SCHREIBER,HOUSE DISTRICT 85 | HOUSE DISTRICT 53 | HOUSE DISTRICT 76,REP | REP | REP,STATE REPRESENTATIVE DISTRICT 85 | STATE REPRESENTATIVE DISTRICT 53 | STATE REPRESENTATIVE DISTRICT 76
Montana Rural Voters Action Fund,11/26/2025 to 12/31/2025,C6,2025-12-18 00:00:00,WORC,,,,220 S 27th St STE B,Billings,MT,59101.0,,9047.06,3,Canvass time and Facebook ads in support of municipal candidates,"Aguirre, Nicholson, Lindley, Strong, Olp, Schreiner, Nelson",GN,Canvassing & Facebook,"Canvassing Oct/Nov and 4,700 impressions",Canvass time and Facebook ads in support of municipal candidates,N,,,,,,,,NELLY NICOL | MICHELE BINKLEY | TRISH SCHREIBER,HOUSE DISTRICT 53 | HOUSE DISTRICT 85 | HOUSE DISTRICT 76,REP | REP | REP,STATE REPRESENTATIVE DISTRICT 53 | STATE REPRESENTATIVE DISTRICT 85 | STATE REPRESENTATIVE DISTRICT 76
Montana Rural Voters Action Fund,10/25/2025 to 11/25/2025,C6,2025-10-31 00:00:00,,Dustin,,Ogdin,2224 Pine St,Billings,MT,59101.0,,722.5,3,"Research/design/schedule Facebook ads in support of Aguirre, Nicholson, Strong, Olp, Lindley, Schreiner, Bitz, Bernhardt, Reed, Rigby, Wilcox, Battles","Aguirre, Nicholson, Strong, Olp, Lindley, Schreiner, Bitz, Bernhardt, Reed, Rigby, Wilcox, Battles",GN,Facebook,appx 8.5 hours,"Research/design/schedule Facebook ads in support of Aguirre, Nicholson, Strong, Olp, Lindley, Schreiner, Bitz, Bernhardt, Reed, Rigby, Wilcox, Battles",N,,,,,,,,NELLY NICOL | MICHELE BINKLEY | TRISH SCHREIBER,HOUSE DISTRICT 53 | HOUSE DISTRICT 85 | HOUSE DISTRICT 76,REP | REP | REP,STATE REPRESENTATIVE DISTRICT 53 | STATE REPRESENTATIVE DISTRICT 85 | STATE REPRESENTATIVE DISTRICT 76
Montana Rural Voters Action Fund,09/26/2025 to 10/24/2025,C6,2025-10-10 00:00:00,Navigate Campaigns,,,,1328 Florida Ave NW,Washington,DC,20009.0,,40297.09,3,"Printing and postage for mailers in support of Nicholson, Aguirre, Nelson, Lindley, Schreiner","Nicholson, Aguirre, Nelson, Lindley, Schreiner",GN,mailers,"Nicholson 3,327, Aguirre 3,823, Lindley 5,299, Nelson 20,002, Schreiner 8,946","Printing and postage for mailers in support of Nicholson, Aguirre, Nelson, Lindley, Schreiner",N,,,,,,,,NELLY NICOL | MICHELE BINKLEY | TRISH SCHREIBER,HOUSE DISTRICT 53 | HOUSE DISTRICT 85 | HOUSE DISTRICT 76,REP | REP | REP,STATE REPRESENTATIVE DISTRICT 53 | STATE REPRESENTATIVE DISTRICT 85 | STATE REPRESENTATIVE DISTRICT 76
School Freedom Fund,04/26/2026 to 05/24/2026,C6,2026-05-01 00:00:00,Whistlestop Strategies LLC,,,,100 Coastal Drive,Charleston,SC,29492,,2483.0,3,Mail production/postage,Support Nelly Nicol,PM,Mail,2230,mail production/postage,N,,,,,,,,NELLY NICOL,HOUSE DISTRICT 53,REP,STATE REPRESENTATIVE DISTRICT 53
School Freedom Fund,04/26/2026 to 05/24/2026,C6,2026-05-21 00:00:00,Whistlestop Strategies LLC,,,,100 Coastal Drive,Charleston,SC,29492,,2483.0,3,Mail production/postage,Support Nelly Nicol,PM,mail,2230,mail production/postage,N,,,,,,,,NELLY NICOL,HOUSE DISTRICT 53,REP,STATE REPRESENTATIVE DISTRICT 53
School Freedom Fund,04/07/2026 to 04/25/2026,C6,2026-04-21 00:00:00,Whistlestop Strategies LLC,,,,100 Coastal Drive,Charleston,SC,29492,,2483.0,3,Mail production/postage,Support Nelly Nicol,PM,Mail,"2,229",Mail production/postage,N,,,,,,,,NELLY NICOL,HOUSE DISTRICT 53,REP,STATE REPRESENTATIVE DISTRICT 53
School Freedom Fund,04/07/2026 to 04/25/2026,C6,2026-04-14 00:00:00,Whistlestop Strategies LLC,,,,100 Coastal Drive,Charleston,SC,29492,,2483.0,3,Mail production/postage,Support Nelly Nicol,PM,Mail,"2,230",Mail production/postage,N,,,,,,,,NELLY NICOL,HOUSE DISTRICT 53,REP,STATE REPRESENTATIVE DISTRICT 53
School Freedom Fund,04/07/2026 to 04/25/2026,C6,2026-04-24 00:00:00,Whistlestop Strategies LLC,,,,100 Coastal Drive,Charleston,SC,29492,,2483.0,3,Mail production/postage,Support Nelly Nicol,PM,Mail,"2,229",Mail production/postage,N,,,,,,,,NELLY NICOL,HOUSE DISTRICT 53,REP,STATE REPRESENTATIVE DISTRICT 53
School Freedom Fund,04/07/2026 to 04/25/2026,C6,2026-04-07 00:00:00,Whistlestop Strategies LLC,,,,100 Coastal Drive,Charleston,SC,22202,,2483.0,3,Mail production/postage,Support Nelly Nicol,PM,Mail,"3,360",Mail production/postage,N,,,,,,,,NELLY NICOL,HOUSE DISTRICT 53,REP,STATE REPRESENTATIVE DISTRICT 53
