Committee,Reporting Period,Report Type,Date Paid,Entity Name,First Name,Middle Initial,Last Name,Addr Line1,City,State,Zip,Zip4,Amount,Expenditure Type,Purpose,Candidate Issue,Election Type,Expenditure Platform,Expenditure Quantity,Expenditure Specific Services,Attachment,# of Donors - Individuals,Total $ - Individual,# of Donors - Committees,Total $ - Committee,Expenditure Paid Communications Platform,Expenditure Paid Communications Quantity,Expenditure Paid Communications Subject Matter,Matched Candidate,Matched District,Matched Party,Matched Race
Accountability In State Government,03/26/2026 to 04/25/2026,C6,2026-04-14 00:00:00,GRP,,,GRP Buying LLC,"3136 Kingsdale Center, #136",Upper Arlington,OH,43221,,39826.23,3,"Video explaining Eddie Buttery vote for tax dollars to DEI initiatives, queer history panel, obscene material to minors.",Buttery SD11,PM,Streaming-SD11,"SD11-Great Falls, 864,360 Impressions, April 15-June 2","Design, Production, Ad Placement",N,,,,,,,,ED BUTTREY,SENATE DISTRICT 11,REP,STATE SENATOR DISTRICT 11
Accountability In State Government,03/26/2026 to 04/25/2026,C6,2026-04-13 00:00:00,Resolve Campaigns LLC,,,,6104 Old Fredericksburg RD,Austin,TX,78749,,10984.49,3,(Voting record DEI SD43 $4129.25) (Voting record DEI SD14 $3864.26) (Voting record DEI SD11 $2991.08),Bedey SD43; Albus SD14; Buttrey SD11,PM,Mailer,"(5000 printed SD43, 4369 mailed & postage) (3637 printed SD14, 3637 mailed & postage) (2746 printed SD11, 2746 mailed & postage)","Design, Printing & Postage",N,,,,,,,,DAVID BEDEY | ERIC ALBUS | ED BUTTREY,SENATE DISTRICT 43 | SENATE DISTRICT 14 | SENATE DISTRICT 11,REP | REP | REP,STATE SENATOR DISTRICT 43 | STATE SENATOR DISTRICT 14 | STATE SENATOR DISTRICT 11
Accountability In State Government,03/26/2026 to 04/25/2026,C6,2026-04-14 00:00:00,GRP,,,GRP Buying LLC,"3136 Kingsdale Center, #136",Upper Arlington,OH,43221,,77950.0,3,"Video explaining Eddie Buttery vote for tax dollars to DEI initiatives, queer history panel, obscene material to minors.",Buttery SD11,PM,TV Media Buy-SD11,"SD11-Great Falls, 2000 Gross Rating Points, April 22-May 19","Design, Production, Ad Placement",N,,,,,,,,ED BUTTREY,SENATE DISTRICT 11,REP,STATE SENATOR DISTRICT 11
Accountability In State Government,03/26/2026 to 04/25/2026,C6,2026-04-14 00:00:00,GRP,,,GRP Buying LLC,"3136 Kingsdale Center, #136",Upper Arlington,OH,43221,,31408.05,3,"Video explaining Eddie Buttery vote for tax dollars to DEI initiatives, queer history panel, obscene material to minors.",Buttery SD11,PM,Cable TV Media Buy-SD11,"SD11-Great Falls, 280 spots, April 22-May 19","Design, Production, Ad Placement",N,,,,,,,,ED BUTTREY,SENATE DISTRICT 11,REP,STATE SENATOR DISTRICT 11
Accountability In State Government,03/26/2026 to 04/25/2026,C6,2026-04-14 00:00:00,GRP,,,GRP Buying LLC,"3136 Kingsdale Center, #136",Upper Arlington,OH,43221,,20778.9,3,"Radio ads explaining Eddie Buttery vote for tax dollars to DEI initiatives, queer history panel, obscene material to minors.",Buttery SD11,PM,Radio Media Buy-SD11,"SD11-Great Falls, 170 broadcast spots, April 22-June 2","Design, Production, Ad Placement",N,,,,,,,,ED BUTTREY,SENATE DISTRICT 11,REP,STATE SENATOR DISTRICT 11
Convention of States Action,04/26/2026 to 05/24/2026,C4,2026-05-20 00:00:00,Convention of States Action - Staff,,,,"5850 San Felipe, Ste. 580A",Houston,TX,77057,,5.91,3,Staff compensation,Buttrey; Bedey; Rusk; Binkley; Nelson; Lenz; Sprunger; Tilleman; Moore; Charbonneau; Caldwell,PM,,,Staff compensation for various communications,N,,,,,,,,ED BUTTREY | DAVID BEDEY | WAYNE RUSK | MICHELE BINKLEY | DENNIS LENZ | COURTENAY SPRUNGER | ERIC TILLEMAN | VALERIE MOORE | TROY CHARBONNEAU | ROY CALDWELL,SENATE DISTRICT 11 | SENATE DISTRICT 43 | HOUSE DISTRICT 86 | HOUSE DISTRICT 85 | SENATE DISTRICT 25 | HOUSE DISTRICT 7 | HOUSE DISTRICT 23 | HOUSE DISTRICT 29 | HOUSE DISTRICT 53 | HOUSE DISTRICT 84,REP | REP | REP | REP | REP | REP | REP | REP | REP | REP,STATE SENATOR DISTRICT 11 | STATE SENATOR DISTRICT 43 | STATE REPRESENTATIVE DISTRICT 86 | STATE REPRESENTATIVE DISTRICT 85 | STATE SENATOR DISTRICT 25 | STATE REPRESENTATIVE DISTRICT 7 | STATE REPRESENTATIVE DISTRICT 23 | STATE REPRESENTATIVE DISTRICT 29 | STATE REPRESENTATIVE DISTRICT 53 | STATE REPRESENTATIVE DISTRICT 84
Convention of States Action,04/26/2026 to 05/24/2026,C4,2026-05-19 00:00:00,Convention of States Action - Staff,,,,"5850 San Felipe, Ste. 580A",Houston,TX,77057,,5.91,3,Staff compensation,Buttrey; Bedey; Rusk; Binkley; Nelson; Lenz; Sprunger; Tilleman; Moore; Charbonneau; Caldwell,PM,,,Staff compensation for various communications,N,,,,,,,,ED BUTTREY | DAVID BEDEY | WAYNE RUSK | MICHELE BINKLEY | DENNIS LENZ | COURTENAY SPRUNGER | ERIC TILLEMAN | VALERIE MOORE | TROY CHARBONNEAU | ROY CALDWELL,SENATE DISTRICT 11 | SENATE DISTRICT 43 | HOUSE DISTRICT 86 | HOUSE DISTRICT 85 | SENATE DISTRICT 25 | HOUSE DISTRICT 7 | HOUSE DISTRICT 23 | HOUSE DISTRICT 29 | HOUSE DISTRICT 53 | HOUSE DISTRICT 84,REP | REP | REP | REP | REP | REP | REP | REP | REP | REP,STATE SENATOR DISTRICT 11 | STATE SENATOR DISTRICT 43 | STATE REPRESENTATIVE DISTRICT 86 | STATE REPRESENTATIVE DISTRICT 85 | STATE SENATOR DISTRICT 25 | STATE REPRESENTATIVE DISTRICT 7 | STATE REPRESENTATIVE DISTRICT 23 | STATE REPRESENTATIVE DISTRICT 29 | STATE REPRESENTATIVE DISTRICT 53 | STATE REPRESENTATIVE DISTRICT 84
Convention of States Action,04/26/2026 to 05/24/2026,C4,2026-05-19 00:00:00,Twilio Inc.,,,,"101 Spear Street, Ste. 500",San Francisco,CA,94105,,6.36,3,text messaging,Buttrey; Bedey; Rusk; Binkley; Nelson; Lenz; Sprunger; Tilleman; Moore,PM,,,Text messaging communications,N,,,,,,,,ED BUTTREY | DAVID BEDEY | WAYNE RUSK | MICHELE BINKLEY | DENNIS LENZ | COURTENAY SPRUNGER | ERIC TILLEMAN | VALERIE MOORE,SENATE DISTRICT 11 | SENATE DISTRICT 43 | HOUSE DISTRICT 86 | HOUSE DISTRICT 85 | SENATE DISTRICT 25 | HOUSE DISTRICT 7 | HOUSE DISTRICT 23 | HOUSE DISTRICT 29,REP | REP | REP | REP | REP | REP | REP | REP,STATE SENATOR DISTRICT 11 | STATE SENATOR DISTRICT 43 | STATE REPRESENTATIVE DISTRICT 86 | STATE REPRESENTATIVE DISTRICT 85 | STATE SENATOR DISTRICT 25 | STATE REPRESENTATIVE DISTRICT 7 | STATE REPRESENTATIVE DISTRICT 23 | STATE REPRESENTATIVE DISTRICT 29
Convention of States Action,04/26/2026 to 05/24/2026,C4,2026-05-18 00:00:00,Convention of States Action - Staff,,,,"5850 San Felipe, Ste. 580A",Houston,TX,77057,,44.59,3,Staff compensation,Buttrey; Bedey; Rusk; Binkley; Nelson; Lenz; Sprunger; Tilleman; Moore,PM,,,Staff compensation for various communications,N,,,,,,,,ED BUTTREY | DAVID BEDEY | WAYNE RUSK | MICHELE BINKLEY | DENNIS LENZ | COURTENAY SPRUNGER | ERIC TILLEMAN | VALERIE MOORE,SENATE DISTRICT 11 | SENATE DISTRICT 43 | HOUSE DISTRICT 86 | HOUSE DISTRICT 85 | SENATE DISTRICT 25 | HOUSE DISTRICT 7 | HOUSE DISTRICT 23 | HOUSE DISTRICT 29,REP | REP | REP | REP | REP | REP | REP | REP,STATE SENATOR DISTRICT 11 | STATE SENATOR DISTRICT 43 | STATE REPRESENTATIVE DISTRICT 86 | STATE REPRESENTATIVE DISTRICT 85 | STATE SENATOR DISTRICT 25 | STATE REPRESENTATIVE DISTRICT 7 | STATE REPRESENTATIVE DISTRICT 23 | STATE REPRESENTATIVE DISTRICT 29
Convention of States Action,04/26/2026 to 05/24/2026,C4,2026-05-16 00:00:00,Convention of States Action - Staff,,,,"5850 San Felipe, Ste. 580A",Houston,TX,77057,,120.29,3,Staff compensation,Buttrey; Bedey; Rusk,PM,,,Staff compensation for various communications,N,,,,,,,,ED BUTTREY | DAVID BEDEY | WAYNE RUSK,SENATE DISTRICT 11 | SENATE DISTRICT 43 | HOUSE DISTRICT 86,REP | REP | REP,STATE SENATOR DISTRICT 11 | STATE SENATOR DISTRICT 43 | STATE REPRESENTATIVE DISTRICT 86
