Committee,Reporting Period,Report Type,Date Paid,Entity Name,First Name,Middle Initial,Last Name,Addr Line1,City,State,Zip,Zip4,Amount,Expenditure Type,Purpose,Candidate Issue,Election Type,Expenditure Platform,Expenditure Quantity,Expenditure Specific Services,Attachment,# of Donors - Individuals,Total $ - Individual,# of Donors - Committees,Total $ - Committee,Expenditure Paid Communications Platform,Expenditure Paid Communications Quantity,Expenditure Paid Communications Subject Matter,Column 1,Column 2,Matched Candidate,Matched District,Matched Party,Matched Race
Conservatives4MT,,,,,,,,,,,,,4644.59,,,,,,,,,,,,,,,,,,GREG KMETZ,SENATE DISTRICT 18,REP,STATE SENATOR DISTRICT 18
Conservatives4MT,,,,,,,,,,,,,5338.58,,,,,,,,,,,,,,,,,,GREG KMETZ,SENATE DISTRICT 18,REP,STATE SENATOR DISTRICT 18
Conservatives4MT,,,,,,,,,,,,,2018.93,,,,,,,,,,,,,,,,,,GREG KMETZ,SENATE DISTRICT 18,REP,STATE SENATOR DISTRICT 18
School Freedom Fund,04/26/2026 to 05/24/2026,C6,2026-05-19 0:00:00,Darby House LLC,,,,"4201 Wilson Blvd, Suite 110-126",Arlington,VA,22203,,2500,3,Digital Ad Production,Support Greg Kmetz,PM,digital,,digital ad production,N,,,,,,,,,,GREG KMETZ,SENATE DISTRICT 18,REP,STATE SENATOR DISTRICT 18
School Freedom Fund,04/26/2026 to 05/24/2026,C6,2026-05-19 0:00:00,Whistlestop Strategies LLC,,,,100 Coastal Drive,Charleston,SC,29492,,3315,3,Mail production/postage,Support Greg Kmetz,PM,Mail,4144,mail production/postage,N,,,,,,,,,,GREG KMETZ,SENATE DISTRICT 18,REP,STATE SENATOR DISTRICT 18
School Freedom Fund,04/26/2026 to 05/24/2026,C6,2026-05-05 0:00:00,Whistlestop Strategies LLC,,,,100 Coastal Drive,Charleston,SC,29492,,3315,3,Mail production/postage,Support Greg Kmetz,PM,mail,4144,mail production/postage,N,,,,,,,,,,GREG KMETZ,SENATE DISTRICT 18,REP,STATE SENATOR DISTRICT 18
School Freedom Fund,04/26/2026 to 05/24/2026,C6,2026-04-26 0:00:00,Google,,,,1600 Amphitheatre Parkway,Mountain View,CA,94043,,5150,3,Online Advertising,Support Greg Kmetz,PM,Google,,online advertising,N,,,,,,,,,,GREG KMETZ,SENATE DISTRICT 18,REP,STATE SENATOR DISTRICT 18
School Freedom Fund,04/26/2026 to 05/24/2026,C6,2026-04-26 0:00:00,i360,,,,"2300 Clarendon Blvd, Suite 800",Arlington,VA,22203,,15,3,Data,Support Greg Kmetz,PM,,,data,N,,,,,,,,,,GREG KMETZ,SENATE DISTRICT 18,REP,STATE SENATOR DISTRICT 18
School Freedom Fund,04/26/2026 to 05/24/2026,C6,2026-04-26 0:00:00,Drogin Group,,,,6705 W Hwy 290 Suite 50281,Austin,TX,78735,,1800,3,website production/hosting,Support Greg Kmetz,PM,online,,website production/hosting,N,,,,,,,,,,GREG KMETZ,SENATE DISTRICT 18,REP,STATE SENATOR DISTRICT 18
School Freedom Fund,04/26/2026 to 05/24/2026,C6,2026-04-26 0:00:00,Fox Television Stations LLC,,,,"1211 Avenue of the Americas, Suite 302",New York,NY,10036,,7240,3,Online Advertising,Support Greg Kmetz,PM,Fox TV,,online advertising,N,,,,,,,,,,GREG KMETZ,SENATE DISTRICT 18,REP,STATE SENATOR DISTRICT 18
School Freedom Fund,04/26/2026 to 05/24/2026,C6,2026-04-26 0:00:00,Trade Desk,,,,"2710 Media Center Dr, Bldg 6",Los Angeles,CA,90065,,9045,3,Online Advertising,Support Greg Kmetz,PM,online,,online advertising,N,,,,,,,,,,GREG KMETZ,SENATE DISTRICT 18,REP,STATE SENATOR DISTRICT 18
School Freedom Fund,04/26/2026 to 05/24/2026,C6,2026-04-26 0:00:00,Meta,,,,1601 Willow Road,Menlo Park,CA,94025,,500,3,Digital Advertising,Support Greg Kmetz,PM,Facebook,,digital advertising,N,,,,,,,,,,GREG KMETZ,SENATE DISTRICT 18,REP,STATE SENATOR DISTRICT 18
School Freedom Fund,04/07/2026 to 04/25/2026,C6,2026-04-24 0:00:00,Whistlestop Strategies LLC,,,,100 Coastal Drive,Charleston,SC,29492,,3315,3,Mail production/postage,Support Greg Kmetz,PM,Mail,"4,144",Mail production/postage,N,,,,,,,,,,GREG KMETZ,SENATE DISTRICT 18,REP,STATE SENATOR DISTRICT 18
