Committee,Reporting Period,Report Type,Date Paid,Entity Name,First Name,Middle Initial,Last Name,Addr Line1,City,State,Zip,Zip4,Amount,Expenditure Type,Purpose,Candidate Issue,Election Type,Expenditure Platform,Expenditure Quantity,Expenditure Specific Services,Attachment,# of Donors - Individuals,Total $ - Individual,# of Donors - Committees,Total $ - Committee,Expenditure Paid Communications Platform,Expenditure Paid Communications Quantity,Expenditure Paid Communications Subject Matter,Column 1,Column 2,Matched Candidate,Matched District,Matched Party,Matched Race
Accountability In State Government,03/26/2026 to 04/25/2026,C6,2026-04-14 0:00:00,Resolve Campaigns LLC,,,,6104 Old Fredericksburg RD,Austin,TX,78749,,8061.95,3,Vote to raise gas tax mailer Jones SD9 $4087.85; Positive mailer Lentz SD25 $3974.10,Jones SD9; Lentz SD25,PM,Postcard Mailer,"(Jones 5000 printed, 4251 mailed & postage) (Lentz 5000 printed, 3926 mailed & postage)","Design, Printing, Postage",N,,,,,,,,,,LLEW JONES | DENNIS LENZ,SENATE DISTRICT 9 | SENATE DISTRICT 25,REP | REP,STATE SENATOR DISTRICT 9 | STATE SENATOR DISTRICT 25
Accountability In State Government,03/26/2026 to 04/25/2026,C6,2026-04-14 0:00:00,GRP,,,GRP Buying LLC,"3136 Kingsdale Center, #136",Upper Arlington,OH,43221,,46340.99,3,"Video explaining Llew Jones vote for tax dollars to DEI initiatives, queer history panel, sex changes",Jones SD9,PM,Streaming-SD9,"SD9-Great Falls & Helena, 990,500 Impressions, April 15-June 2","Design, Production, Ad Placement",N,,,,,,,,,,LLEW JONES,SENATE DISTRICT 9,REP,STATE SENATOR DISTRICT 9
Accountability In State Government,03/26/2026 to 04/25/2026,C6,2026-04-14 0:00:00,GRP,,,GRP Buying LLC,"3136 Kingsdale Center, #136",Upper Arlington,OH,43221,,40616,3,"Radio ads explaining Llew Jones vote for tax dollars to DEI initiatives, queer history panel, sex changes",Jones SD9,PM,Radio Media Buy-SD9,"SD9-Shelby & Rural, 240 broadcast spots, April 22-May 19","Design, Production, Ad Placement",N,,,,,,,,,,LLEW JONES,SENATE DISTRICT 9,REP,STATE SENATOR DISTRICT 9
Accountability In State Government,03/26/2026 to 04/25/2026,C6,2026-04-13 0:00:00,Resolve Campaigns LLC,,,,6104 Old Fredericksburg RD,Austin,TX,78749,,9188.15,3,"(Jones, vote to raise gas tax SD9 $4087.85) (Reksten HD13 Vote DEI $2570.10) (Carlson HD68 Vote DEI $2530.20)","Jones SD9,  Reksten HD 13,  Carlson HD68",PM,Mailer,"(5000 printed SD9, 4251 mailed & postage) (2500 printed SD13, 1986 mailed & postage) (2500 printed SD68, 1872 mailed & postage)","Design, Printing & Postage",N,,,,,,,,,,LLEW JONES | LINDA REKSTEN | JENNIFER CARLSON,SENATE DISTRICT 9 | HOUSE DISTRICT 13 | HOUSE DISTRICT 68,REP | REP | REP,STATE SENATOR DISTRICT 9 | STATE REPRESENTATIVE DISTRICT 13 | STATE REPRESENTATIVE DISTRICT 68
Accountability In State Government,03/26/2026 to 04/25/2026,C6,2026-04-10 0:00:00,Resolve Campaigns LLC,,,,6104 Old Fredericksburg RD,Austin,TX,78749,,9188.15,3,(Exposing voting record Jones SD9 $4087.85) (Positive Warden HD13 $2570.10) (Positive Chamberlin HD68 $2530.20),Jones SD9; Warden HD13; Chamberlin HD68,PM,Mailer,"(SD9 5000 printed, 4251 mailed & postage) (HD13 2500 printed, 1986 mailed & postage) (HD68 2500 printed, 1872 mailed & postage)","Design, Printing & Postage",N,,,,,,,,,,LLEW JONES | FINLEY WARDEN | RANDY CHAMBERLIN,SENATE DISTRICT 9 | HOUSE DISTRICT 13 | HOUSE DISTRICT 68,REP | REP | REP,STATE SENATOR DISTRICT 9 | STATE REPRESENTATIVE DISTRICT 13 | STATE REPRESENTATIVE DISTRICT 68
Big Sky Fiscal Guardians,03/26/2026 to 04/25/2026,C4,2026-03-27 0:00:00,KSEN,,,,830 Oilfield Avenue,Shelby,MT,59474,,5400,3,Radio ads,LLEW JONES,PM,KSEN/KZIN RADIO,240 ads on KSEN and 120 ads on KZIN (1-30 April),,N,,,,,,,,,,LLEW JONES,SENATE DISTRICT 9,REP,STATE SENATOR DISTRICT 9
Big Sky Fiscal Guardians,03/09/2026 to 03/25/2026,C4,2026-03-09 0:00:00,Fireweed Campaigns,,,,PO Box 87,Helena,MT,59624,,4656,3,Billboard design and placement,Llew Jones,PM,Billboard,3 months,,N,,,,,,,,,,LLEW JONES,SENATE DISTRICT 9,REP,STATE SENATOR DISTRICT 9
Big Sky Fiscal Guardians,03/09/2026 to 03/25/2026,C4,2026-03-09 0:00:00,KSEN,,,,830 Oilfield Avenue,Shelby,MT,59474,,3720,3,Radio ads,Llew Jones,PM,KSEN/KZIN Radio,248 ads,,N,,,,,,,,,,LLEW JONES,SENATE DISTRICT 9,REP,STATE SENATOR DISTRICT 9
Conservatives4MT,,,,,,,,,,,,,27657.66,,,,,,,,,,,,,,,,,,LLEW JONES,SENATE DISTRICT 9,REP,STATE SENATOR DISTRICT 9
Conservatives4MT,,,,,,,,,,,,,3858.99,,,,,,,,,,,,,,,,,,LLEW JONES,SENATE DISTRICT 9,REP,STATE SENATOR DISTRICT 9
