Committee,Reporting Period,Report Type,Date Paid,Entity Name,First Name,Middle Initial,Last Name,Addr Line1,City,State,Zip,Zip4,Amount,Expenditure Type,Purpose,Candidate Issue,Election Type,Expenditure Platform,Expenditure Quantity,Expenditure Specific Services,Attachment,# of Donors - Individuals,Total $ - Individual,# of Donors - Committees,Total $ - Committee,Expenditure Paid Communications Platform,Expenditure Paid Communications Quantity,Expenditure Paid Communications Subject Matter,Matched Candidate,Matched District,Matched Party,Matched Race
Montana Business PAC,01/01/2026 to 03/25/2026,C6,2026-01-16 00:00:00,,Jessie,,Luther,205 Chauncer St ,Helena,MT,59601,4344.0,530.0,2,Event Prize,Jessie Luther,PM,,,,N,,,,,,,,BARRY USHER,SENATE DISTRICT 19,REP,STATE SENATOR DISTRICT 19
Montana Business PAC,01/01/2026 to 03/25/2026,C6,2026-01-12 00:00:00,Barry Usher For Montana,,,,PO Box 80086 ,Billings,MT,59108,86.0,250.0,2,Contribution,Barry Usher For Montana,PM,,,,,,,,,,,,BARRY USHER,SENATE DISTRICT 19,REP,STATE SENATOR DISTRICT 19
Montana Business PAC,01/01/2026 to 03/25/2026,C6,2026-01-16 00:00:00,,Jessie,,Luther,205 Chauncer St ,Helena,MT,59601,4344.0,20.0,2,Event Prize,Jessie Luther,PM,,,,,,,,,,,,BARRY USHER,SENATE DISTRICT 19,REP,STATE SENATOR DISTRICT 19
School Freedom Fund,04/26/2026 to 05/24/2026,C6,2026-05-01 00:00:00,Whistlestop Strategies LLC,,,,100 Coastal Drive,Charleston,SC,29492,,3662.0,3,Mail production/postage,Support Barry Usher,PM,Mail,4944,mail production/postage,N,,,,,,,,BARRY USHER,SENATE DISTRICT 19,REP,STATE SENATOR DISTRICT 19
School Freedom Fund,04/26/2026 to 05/24/2026,C6,2026-05-07 00:00:00,SFF Buying LLC,,,,"3900 Teleport Blvd, #140053",Irving,TX,75014,,3505.95,3,Radio Advertising,Support Barry Usher,PM,Radio,N/a,Radio Advertising,N,,,,,,,,BARRY USHER,SENATE DISTRICT 19,REP,STATE SENATOR DISTRICT 19
School Freedom Fund,04/26/2026 to 05/24/2026,C6,2026-05-21 00:00:00,Whistlestop Strategies LLC,,,,100 Coastal Drive,Charleston,SC,29492,,3662.0,3,Mail production/postage,Support Barry Usher,PM,Mail,4944,mail production/postage,N,,,,,,,,BARRY USHER,SENATE DISTRICT 19,REP,STATE SENATOR DISTRICT 19
School Freedom Fund,04/26/2026 to 05/24/2026,C6,2026-05-05 00:00:00,Whistlestop Strategies LLC,,,,100 Coastal Drive,Charleston,SC,29492,,3662.0,3,Mail production/postage,Support Barry Usher,PM,Mail,4944,mail production/postage,N,,,,,,,,BARRY USHER,SENATE DISTRICT 19,REP,STATE SENATOR DISTRICT 19
School Freedom Fund,04/26/2026 to 05/24/2026,C6,2026-05-01 00:00:00,Whistlestop Strategies LLC,,,,100 Coastal Drive,Charleston,SC,29492,,3662.0,3,Mail production/postage,Support Barry Usher,PM,Mail,4944,mail production/postage,N,,,,,,,,BARRY USHER,SENATE DISTRICT 19,REP,STATE SENATOR DISTRICT 19
School Freedom Fund,04/26/2026 to 05/24/2026,C6,2026-05-19 00:00:00,Darby House LLC,,,,"4201 Wilson Blvd, Suite 110-126",Arlington,VA,22203,,2500.0,3,Digital Ad Production,Support Barry Usher,PM,digital,,digital ad production,N,,,,,,,,BARRY USHER,SENATE DISTRICT 19,REP,STATE SENATOR DISTRICT 19
School Freedom Fund,04/26/2026 to 05/24/2026,C6,2026-04-26 00:00:00,Google,,,,1600 Amphitheatre Parkway,Mountain View,CA,94043,,10550.0,3,Online Advertising,Support Barry Usher,PM,Google,,online advertising,N,,,,,,,,BARRY USHER,SENATE DISTRICT 19,REP,STATE SENATOR DISTRICT 19
