Committee,amount,numOfCandidates
Conservatives4MT,1761234.38,48
School Freedom Fund,1238581.99,40
AMERICANS FOR PROSPERITY - MONTANA,620306.16,13
Accountability In State Government,553271.78,9
Montana Rural Voters Action Fund,152646.48,3
Montana Senate Leadership PAC,99040.20,4
Montana Conservation Voters Action Fund,43812.75,2
Convention of States Action,23927.11,10
Big Sky Fiscal Guardians,17919.42,2
Treasure State Stewards,7333.42,3
Forward Montana Voter Fund,6068.77,3
Carbon County Freedom PAC,5050.00,1
1889 Project PAC,3700.00,1
Montanans for Responsible Stewardship,3210.54,7
Montana Patriots,3125.68,4
Montana Business PAC,3000.00,4
Flathead County Republican Central Committee,685.00,4
Sweet Grass County Republican Central Committee,564.05,1
ProLife Flathead Valley,36.50,1
