district,party,amount
SD9,REP,245950.04
SD11,REP,208066.86
HD76,REP,168682.00
SD34,REP,164565.60
SD43,REP,163502.13
SD12,REP,149994.00
SD42,REP,147478.39
HD55,REP,129884.37
HD53,REP,124837.96
HD69,REP,108567.31
HD13,REP,102063.06
HD29,REP,96468.28
HD85,REP,93791.76
HD21,REP,90799.35
SD14,REP,89002.22
SD19,REP,78863.95
HD52,REP,74267.35
HD17,REP,74088.95
HD90,REP,73555.20
SD18,REP,71660.00
HD67,REP,54309.04
HD86,REP,54081.17
HD68,REP,51526.29
HD28,REP,51422.41
HD20,REP,31109.42
SD1,REP,26277.08
HD49,REP,20340.00
HD40,REP,16359.00
HD34,REP,15756.00
HD6,REP,14922.00
SD25,REP,12367.55
HD84,REP,10299.06
SD8,DEM,4866.25
HD19,REP,1320.00
1ST CONGRESSIONAL,REP,735.30
HD23,REP,331.50
HD7,REP,331.50
PUBLIC SERVICE COMMISSIONER DISTRICT 5,REP,171.25
HD4,REP,36.50
